PGN,Group,Sub-Category,Name,Description,Data Type,Data Range,Resolution,Units,Notes
127508,Battery,Status,Battery Status,Voltage and Charge,,,,, 
130584,Battery,Charge,Battery Charge Status,Battery Charge/Discharge,,,,, 
126464,Configuration,System,Supported PGN List,PGN Configuration Supported by Device,,,,, 
65326,Electrical,Lighting,Lighting Control,Lighting Commands,,,,, 
65288,Energy,Solar,Solar Energy Management,Solar Panel Production,,,,, 
130850,Energy,Solar Production,Solar Energy Production,Instantaneous Production Data from Solar Panels,Electrical,0 to 65535,1,Watts,Renewable Energy Production
130851,Energy,Hydro Generator,Hydro Generator Production,Indicates Power Generated by Hydro Generator,Electrical,0 to 65535,1,Watts,Energy Recovered During Navigation
130313,Humidity,Atmosphere,Humidity,Relative Humidity,,,,, 
65342,Hydraulic,Level,Bilge Water Detection,Bilge Water Level Measurement,,,,, 
65343,Hydraulic,Pumping,Pump Control,Pump Activation/Deactivation,,,,, 
126996,Identification,System,Product Identification,Detailed Equipment Information (model version),,,,, 
126998,Identification,System,Network Configuration,NMEA 2000 Network Configuration and Topology,,,,, 
130306,Weather,Conditions,Weather Data,Temperature/Atmospheric Pressure,,,,, 
130310,Weather,Environment,Environmental Parameters,External Temperature/Humidity,,,,, 
127488,Engine,Status,Engine Parameters - Quick Update,Engine RPM and Temperature,,,,, 
127489,Engine,Dynamics,Engine Dynamic Parameters,Pressure and Fuel Level,,,,, 
127490,Engine,Temperature,Engine Temperature,Temperatures of Various Components,,,,, 
127491,Engine,Level,Fuel Level,Tank Levels,,,,, 
127497,Engine,Duration,Operating Hours,Engine Usage Time,,,,, 
127498,Engine,Status,Engine Parameters - Static Status,General Engine Information,,,,, 
127500,Engine,Pressure,Engine Pressures,Oil and Other Pressures,,,,, 
65360,Electric Motor,Status,Electric Motor Status,Transmits Operational State of Electric Motor,State,Variable,N/A,N/A,New PGN for Electric Motors
65361,Electric Motor,Power,Instantaneous Power,Indicates Power Delivered by Electric Motor,Power,0 to 100000,1,Watts,Used for Electric Power Management
65362,Electric Motor,Temperature,Electric Motor Temperature,Provides Internal Motor Temperature,Temperature,-273 to +6553.4,0.1,°C,Critical Temperature to Monitor
65363,Electric Motor,Electrical,Voltage and Current,Transmits Voltage and Current Powering the Motor,Electrical,0 to 1000,0.1,Amperes/Volts,Electrical Motor State
